pl_name,hostname,pl_rade,pl_orbsmax,st_teff,st_lum,teq_recalc,st_lum_linear,habitable
Kepler-953 c,Kepler-953,1.19,0.0862,5416.0,-0.119,884.1809690714339,0.7603262769401818,0
Kepler-342 b,Kepler-342,2.25,0.128,6175.0,0.45345,1008.7935832208792,2.8408610999340778,0
Kepler-334 c,Kepler-334,1.43,0.107,5828.0,0.05556,877.4914773686354,1.136475296686555,0
Kepler-291 c,Kepler-291,1.88,0.065,6002.0,0.07135,1136.1236950376149,1.1785553943268228,0
Kepler-298 c,Kepler-298,1.93,0.136,4465.0,-0.73284,494.3850640470103,0.1849950040229604,0
Kepler-190 c,Kepler-190,1.46,0.045,5106.0,-0.44055,1016.9533681291398,0.3626185358398338,0
Kepler-191 c,Kepler-191,1.86,0.128,5282.0,-0.4145,612.0893330895155,0.3850348146786149,0
BD-08 2823 c,BD-08 2823,12.5,0.68,4746.0,-0.62597,235.1244753920516,0.2366083135073426,0
HD 10180 f,HD 10180,5.24,0.4929,5911.0,0.17319,437.4847177760389,1.4900128025794257,0
Kepler-207 c,Kepler-207,1.5,0.044,5920.0,0.5343,1802.575473805487,3.422157551537391,0
Kepler-224 b,Kepler-224,1.39,0.038,5018.0,-0.51445,1060.5728313213465,0.3058792382726724,0
HD 16905 b,HD 16905,12.4,8.8,4866.12,-0.51804,69.54941155283713,0.3033611765357601,0
Kepler-337 c,Kepler-337,2.05,0.093,5684.0,0.48057,1202.114461145513,3.023917929218048,0
Kepler-299 d,Kepler-299,1.86,0.118,5617.0,-0.04352,789.2667225685892,0.9046487761631056,0
Kepler-953 b,Kepler-953,4.21,0.392,5416.0,-0.119,414.6214464727785,0.7603262769401818,0
Kepler-493 b,Kepler-493,15.13,0.0439,6457.0,0.43813,1707.4383661586178,2.7423949467820607,0
Kepler-303 c,Kepler-303,1.14,0.057,3944.0,-1.0655,630.568639785138,0.0860003066888856,0
Kepler-137 b,Kepler-137,1.47,0.077,5187.0,-0.29234,846.6705100246766,0.5101054927697318,0
HD 187123 c,HD 187123,13.2,4.89,5790.0,0.12713,135.26108485968777,1.3400777609949184,0
HD 217107 b,HD 217107,13.6,0.08,5622.0,0.09754,1039.6443612711184,1.2518145641044736,0
Kepler-228 b,Kepler-228,1.53,0.038,6043.0,0.11115,1520.3392148248963,1.2916653219766048,0
Kepler-238 c,Kepler-238,2.39,0.069,5751.0,0.43048,1355.939306921381,2.69451124266482,0
HD 62364 c,HD 62364,12.0,36.984,6255.0,0.43297,58.651666397830375,2.7100044249512933,0
Kepler-324 c,Kepler-324,3.15,0.26,5194.0,-0.30825,456.5576476795669,0.4917563764640382,0
Kepler-188 b,Kepler-188,1.68,0.032,6021.0,0.03447,1585.2118375322343,1.0826049288451798,0
Kepler-126 b,Kepler-126,1.52,0.099,6239.0,0.452,1146.1123666233473,2.8313919957993794,0
GJ 1214 b,GJ 1214,2.733,0.01505,3101.0,-2.40894,566.2934598307048,0.0038999586287443,0
Kepler-136 c,Kepler-136,1.99,0.133,6165.0,0.46678,997.2728030922476,2.9294089223967785,0
Kepler-198 c,Kepler-198,2.47,0.259,5574.0,-0.1089,513.0620757317035,0.7782157212031626,0
Kepler-398 b,Kepler-398,0.93,0.044,4493.0,-0.81101,830.9329055249076,0.1545218859149676,0
Kepler-244 c,Kepler-244,2.05,0.087,5554.0,-0.25619,813.2754630588382,0.554383122176661,0
Kepler-247 b,Kepler-247,1.64,0.042,5100.0,-0.42165,1064.1617647923565,0.3787476963349789,0
BD-210397 b,BD-210397,14.0,2.63,4051.0,-0.86967,103.90810431184956,0.1349988285722251,0
Kepler-301 d,Kepler-301,1.75,0.112,5815.0,-0.07963,793.4659316731145,0.8324726995861865,0
Kepler-301 c,Kepler-301,1.35,0.06,5815.0,-0.07963,1084.0808448427556,0.8324726995861865,0
Kepler-342 d,Kepler-342,2.49,0.242,6175.0,0.45345,733.6680605242757,2.8408610999340778,0
Kepler-191 b,Kepler-191,1.34,0.087,5282.0,-0.4145,742.4379614570839,0.3850348146786149,0
Kepler-194 d,Kepler-194,2.4,0.275,6089.0,0.0427,543.3171939017101,1.103316212766981,0
Kepler-208 e,Kepler-208,1.48,0.132,6092.0,0.30912,914.192871075586,2.0376050110008768,0
Kepler-344 c,Kepler-344,2.95,0.488,5774.0,-0.18481,357.7934492505645,0.6534163540088175,0
Kepler-304 d,Kepler-304,2.75,0.08,4731.0,-0.6616,671.5831674032709,0.2179716441139905,0
Kepler-304 c,Kepler-304,2.17,0.054,4731.0,-0.6616,817.4250000611993,0.2179716441139905,0
Kepler-81 d,Kepler-81,1.21,0.128,4500.0,-0.88941,465.6797049305572,0.12900008605085,0
Kepler-548 b,Kepler-548,11.99,0.0495,5535.0,-0.2012,1112.8642633931918,0.6292163512879859,0
Kepler-723 b,Kepler-723,12.19,0.0479,5539.0,-0.172,1150.474611620352,0.6729766562843178,0
Kepler-197 e,Kepler-197,0.91,0.164,6004.0,0.22187,779.9924014576723,1.6667482200228836,0
Kepler-200 c,Kepler-200,1.59,0.09,5678.0,0.00778,930.8260763496412,1.0180755321872546,0
Kepler-346 c,Kepler-346,3.07,0.168,6033.0,-0.15256,621.2267598588961,0.7037849897300726,0
